统计|相机页PV/UV；衡量App相机页活跃|相机页曝光|App → 相机页|已连接.jpg|进入相机页时上报|CameraPage|CameraPage||-|page_view|核心页面曝光
统计|连接状态曝光量；监测连接稳定性|相机连接状态曝光|App → 相机页 → 顶部状态条|已连接.jpg|状态条可见时上报|CameraPage|ConnectStatus|connected|battery=78|view|携带电量与连接状态
统计|当前风格卡点击率＝点击PV/相机页PV|当前风格卡点击|App → 相机页 → 当前风格卡|已连接.jpg|点击当前风格卡时上报|CameraPage|CurrentStyle|on|style_id=GOLD200|click|入口：跳转风格列表
统计|提前取出按钮曝光量；衡量取出意向|提前取出按钮曝光|App → 相机页 → 提前取出|已连接.jpg|按钮可见时上报|CameraPage|TakeOut|on|remaining=36;shot_cnt=0|view|曝光与点击成对比
统计|取出意图率＝取出点击PV/提前取出曝光PV|提前取出按钮点击|App → 相机页 → 提前取出|已连接.jpg|点击按钮时上报|CameraPage|TakeOut|on|remaining=36;shot_cnt=0|click|北极星链路起点
统计|弃卷率＝提前取出次数/取卷次数|提前取出弹窗曝光|App → 相机页 → 提前取出 → 弹窗|提前取出.jpg|弹窗展示时上报|TakeOutDialog|TakeOutDialog|on|remaining=36|view|二次确认拦截
统计|取卷转化率＝确认取出次数/弹窗曝光PV|确认取出点击|App → 相机页 → 提前取出 → 取出|提前取出.jpg|点击取出时上报|TakeOutDialog|TakeOutConfirm|on|remaining=36|click|触发传输与冲印
统计|拦截率＝取消次数/弹窗曝光PV|提前取出取消点击|App → 相机页 → 提前取出 → 取消|提前取出.jpg|点击取消时上报|TakeOutDialog|TakeOutCancel|on|-|click|衡量文案说服力
统计|冲印方式弹窗曝光量；衡量强制决策损耗|冲印方式弹窗曝光|取出 → 冲印方式弹窗|冲印方式.jpg|弹窗展示时上报|PrintModeDialog|PrintModeDialog|on|-|view|每次询问时弹出
统计|即时/经典冲印占比＝各模式选择PV/弹窗曝光PV|冲印方式选择点击|取卷流程 → 冲印方式弹窗 → 即时/经典|冲印方式.jpg|选中某模式时上报|PrintModeDialog|PrintModeSelect|selected|print_mode=instant|click|拆解冲扫体验偏好
统计|冲印启动率＝开始冲印次数/取出确认次数|开始冲印点击|冲印方式弹窗 → 开始冲印|冲印方式.jpg|点击开始冲印时上报|PrintModeDialog|PrintStart|on|print_mode=instant|click|北极星分母
统计|传输成功率＝传输成功数/传输开始数|传输开始|取出后自动传输|冲印方式.jpg|开始传输时上报|CameraPage|Transfer||shot_cnt=32|view|硬件质量监控
统计|传输耗时分布；失败率监控|传输结束|取出后自动传输|冲印方式.jpg|传输结束（成功/失败）时上报|CameraPage|Transfer|failed|result=fail;duration=18|view|反哺固件优化
统计|周冲扫卷数（北极星）＝冲印完成卷数/7天|冲印完成|冲印完成后可在暗房查看|暗房 · 冲印中.jpg|冲印完成时上报|CameraPage|PrintFinish|success|print_mode=instant;cost=300|view|北极星指标取数点
统计|风格列表PV/UV；风格模块渗透率|风格列表曝光|App → 相机页 → 风格列表|风格列表-未选择.jpg|列表页进入时上报|StyleListPage|StyleList||style_cnt=5|page_view|风格模块入口
统计|各筛选标签使用占比|风格筛选点击|风格列表 → 筛选标签|风格列表-未选择.jpg|点击筛选标签时上报|StyleListPage|StyleFilter|selected|filter_type=warm|click|辅助风格分类运营
统计|风格卡曝光量；各风格热度排序|风格卡片曝光|风格列表 → 风格卡片|风格列表-未选择.jpg|卡片可见时上报|StyleListPage|StyleCard||style_id=GOLD200;selected=0|view|风格偏好画像
统计|详情点击率＝风格详情点击PV/风格卡曝光PV|查看详情点击|风格列表 → 风格卡片 → 查看详情|风格列表-未选择.jpg|点击查看详情时上报|StyleListPage|StyleDetail|on|style_id=GOLD200|click|进入风格详情
统计|解锁入口点击率；兑换码活动效果|解锁新风格点击|风格列表 → 解锁新风格|风格列表-未选择.jpg|点击解锁入口时上报|StyleListPage|UnlockStyle|on|-|click|运营活动埋点
统计|风格详情PV/UV；详情页吸引力|风格详情曝光|风格列表 → 查看详情|风格详情.jpg|详情页进入时上报|StyleDetailPage|StyleDetail||style_id=GOLD200|page_view|风格转化分析
统计|颗粒/边框/漏光各档位选择分布|成像设置点击|风格详情 → 成像设置|风格详情.jpg|选择某档位时上报|StyleDetailPage|ImageSetting|selected|type=grain;value=mid|click|评估特效使用偏好
统计|风格选用率＝选用此风格PV/风格详情PV|选用此风格点击|风格详情 → 选用此风格|风格详情.jpg|点击选用时上报|StyleDetailPage|UseStyle|on|style_id=GOLD200|click|风格→拍摄转化
统计|风格切换频次；风格粘性|风格选择成功|选用此风格后写入设备|风格详情.jpg|设备回执成功时上报|StyleDetailPage|StyleSelected|success|style_id=GOLD200|view|含特效参数快照
统计|设置页PV/UV；设置模块渗透率|相机设置页曝光|App → 相机设置|相机设置.jpg|设置页进入时上报|CameraSettingPage|CameraSetting||-|page_view|设置模块入口
